Collections_SortBeforeBinarySearch @ CompoundList.java:47: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:66: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:82: 1 Unique Traces, 46 Redundant Traces, 1 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ ConstructorStrategy.java:198: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ElementMatchers.java:605: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FieldRegistry.java:121: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FieldRegistry.java:138: 3 Unique Traces, 6 Redundant Traces, 3 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ FilterableList.java:126: 6 Unique Traces, 61 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ Frame.java:605: 44 Unique Traces, 1325636 Redundant Traces, 4 Preserved, 66467 Remained 
Collections_SortBeforeBinarySearch @ Frame.java:608: 1 Unique Traces, 740520 Redundant Traces, 1 Preserved, 10000 Remained 
Collections_SortBeforeBinarySearch @ Frame.java:622: 7 Unique Traces, 722 Redundant Traces, 1 Preserved, 38 Remained 
Collections_SortBeforeBinarySearch @ Frame.java:653: 1 Unique Traces, 321 Redundant Traces, 1 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:118: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:129: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodAttributeAppender.java:474: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodCallProxy.java:386: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ MethodConstant.java:103: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegation.java:948: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:453: 3 Unique Traces, 15 Redundant Traces, 3 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:969: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodDelegationBinder.java:1092: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ MethodDescription.java:1915: 3 Unique Traces, 29 Redundant Traces, 2 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ MethodList.java:70: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MethodNode.java:265: 2 Unique Traces, 3463 Redundant Traces, 1 Preserved, 192 Remained 
Collections_SortBeforeBinarySearch @ MethodNode.java:270: 1 Unique Traces, 2048 Redundant Traces, 1 Preserved, 153 Remained 
Collections_SortBeforeBinarySearch @ MethodNode.java:324: 1 Unique Traces, 3239 Redundant Traces, 1 Preserved, 194 Remained 
Collections_SortBeforeBinarySearch @ MethodNode.java:488: 39 Unique Traces, 36643 Redundant Traces, 3 Preserved, 1950 Remained 
Collections_SortBeforeBinarySearch @ MethodNode.java:519: 52 Unique Traces, 111299 Redundant Traces, 6 Preserved, 5676 Remained 
Collections_SortBeforeBinarySearch @ MethodRegistry.java:502: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ MethodVariableAccess.java:240: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ MultipleParentClassLoader.java:334: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MultipleParentClassLoader.java:359: 3 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ParameterList.java:98: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ ParameterList.java:109: 4 Unique Traces, 388 Redundant Traces, 3 Preserved, 43 Remained 
