Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:488: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:492: 10 Unique Traces, 29 Redundant Traces, 8 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:496: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:500: 19 Unique Traces, 45 Redundant Traces, 10 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:504: 5 Unique Traces, 12 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:508: 13 Unique Traces, 239 Redundant Traces, 13 Preserved, 239 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:513: 452 Unique Traces, 8028 Redundant Traces, 452 Preserved, 8028 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:517: 10 Unique Traces, 10 Redundant Traces, 5 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:521: 997 Unique Traces, 46843 Redundant Traces, 997 Preserved, 46843 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:525: 23 Unique Traces, 97 Redundant Traces, 10 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:529: 320 Unique Traces, 12124 Redundant Traces, 320 Preserved, 12124 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:533: 11 Unique Traces, 12 Redundant Traces, 5 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:537: 8 Unique Traces, 108 Redundant Traces, 8 Preserved, 108 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:541: 15 Unique Traces, 117 Redundant Traces, 15 Preserved, 117 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:545: 10 Unique Traces, 18 Redundant Traces, 9 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:549: 79 Unique Traces, 896 Redundant Traces, 78 Preserved, 896 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:756: 20958 Unique Traces, 133146 Redundant Traces, 20958 Preserved, 133146 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:763: 62 Unique Traces, 6521 Redundant Traces, 8 Preserved, 311 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:765: 13 Unique Traces, 6487 Redundant Traces, 3 Preserved, 327 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:965: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 4 Remained 
