Collections_SortBeforeBinarySearch @ VectorTileEncoder.java:258: 3 Unique Traces, 27 Redundant Traces, 3 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoder.java:262: 5 Unique Traces, 116 Redundant Traces, 1 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoder.java:496: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoder.java:510: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoder.java:530: 3 Unique Traces, 17 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoder.java:580: 15 Unique Traces, 58 Redundant Traces, 8 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:90: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:144: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:173: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:212: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:232: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:261: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:289: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:303: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ VectorTileEncoderTest.java:318: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WKTReader.java:370: 8 Unique Traces, 17 Redundant Traces, 8 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ WKTReader.java:895: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ WKTReader.java:949: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Console_CloseReader @ WKTReader.java:242: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ AbstractMessageLite.java:372: 19 Unique Traces, 76 Redundant Traces, 7 Preserved, 16 Remained 
Iterator_HasNext @ AbstractSTRtree.java:147: 30 Unique Traces, 81 Redundant Traces, 14 Preserved, 22 Remained 
