Collections_SortBeforeBinarySearch @ CharNode.java:35: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CharNode.java:40: 3 Unique Traces, 572 Redundant Traces, 2 Preserved, 41 Remained 
Collections_SortBeforeBinarySearch @ CharRangeAccumulator.java:36: 13 Unique Traces, 175 Redundant Traces, 4 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ CharWordSetBuilder.java:61: 25 Unique Traces, 336 Redundant Traces, 25 Preserved, 336 Remained 
Collections_SortBeforeBinarySearch @ CharWordSetBuilder.java:74: 65 Unique Traces, 392 Redundant Traces, 12 Preserved, 38 Remained 
Collections_SortBeforeBinarySearch @ CharWordSetBuilder.java:100: 51 Unique Traces, 406 Redundant Traces, 14 Preserved, 52 Remained 
Collections_SortBeforeBinarySearch @ CharWordSetBuilder.java:134: 79 Unique Traces, 378 Redundant Traces, 18 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ CharWordSetBuilder.java:141: 32 Unique Traces, 425 Redundant Traces, 11 Preserved, 66 Remained 
Collections_SortBeforeBinarySearch @ ConcatNode.java:26: 4 Unique Traces, 113 Redundant Traces, 4 Preserved, 42 Remained 
Collections_SortBeforeBinarySearch @ ConcatNode.java:28: 12 Unique Traces, 656 Redundant Traces, 4 Preserved, 47 Remained 
Collections_SortBeforeBinarySearch @ ConcatNode.java:57: 12 Unique Traces, 355 Redundant Traces, 2 Preserved, 21 Remained 
Collections_SortBeforeBinarySearch @ ConcatNode.java:85: 3 Unique Traces, 242 Redundant Traces, 3 Preserved, 115 Remained 
Collections_SortBeforeBinarySearch @ DoubleArrayByteCompactTrieCompiler.java:28: 6 Unique Traces, 61 Redundant Traces, 5 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ DoubleArrayByteFallbackTrieCompiler.java:30: 17 Unique Traces, 14 Redundant Traces, 17 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ DoubleArrayCharCompactTrieCompiler.java:28: 10 Unique Traces, 178 Redundant Traces, 3 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ DoubleArrayCharFallbackTrieCompiler.java:30: 30 Unique Traces, 147 Redundant Traces, 7 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ EqualityMatcher.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ EqualityMatcher.java:44: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ GlushkovAnalyzer.java:68: 16 Unique Traces, 172 Redundant Traces, 13 Preserved, 61 Remained 
Collections_SortBeforeBinarySearch @ GlushkovAnalyzer.java:114: 3 Unique Traces, 175 Redundant Traces, 2 Preserved, 34 Remained 
Collections_SortBeforeBinarySearch @ GlushkovAnalyzer.java:134: 3 Unique Traces, 175 Redundant Traces, 2 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ GlushkovAnalyzer.java:173: 9 Unique Traces, 652 Redundant Traces, 7 Preserved, 64 Remained 
Collections_SortBeforeBinarySearch @ GlushkovAnalyzer.java:466: 2 Unique Traces, 481 Redundant Traces, 2 Preserved, 63 Remained 
Collections_SortBeforeBinarySearch @ GlushkovAnalyzer.java:481: 4 Unique Traces, 479 Redundant Traces, 1 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ GlushkovFactorExtender.java:127: 10 Unique Traces, 528 Redundant Traces, 4 Preserved, 43 Remained 
Collections_SortBeforeBinarySearch @ GlushkovFactorExtender.java:133: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ GlushkovNormalizer.java:93: 3 Unique Traces, 40 Redundant Traces, 2 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ GlushkovNormalizer.java:99: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ GlushkovNormalizer.java:124: 2 Unique Traces, 61 Redundant Traces, 2 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ GlushkovNormalizer.java:179: 3 Unique Traces, 176 Redundant Traces, 3 Preserved, 48 Remained 
Collections_SortBeforeBinarySearch @ IsIterableContainingInAnyOrder.java:76: 6 Unique Traces, 114 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ IsIterableContainingInAnyOrder.java:148: 6 Unique Traces, 114 Redundant Traces, 4 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ IsIterableContainingInOrder.java:103: 12 Unique Traces, 716 Redundant Traces, 2 Preserved, 57 Remained 
Collections_SortBeforeBinarySearch @ Lists.java:82: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ MatchBuilder.java:38: 11 Unique Traces, 211 Redundant Traces, 6 Preserved, 30 Remained 
Collections_SortBeforeBinarySearch @ MultiFactorRE.java:99: 8 Unique Traces, 524589 Redundant Traces, 1 Preserved, 9999 Remained 
Collections_SortBeforeBinarySearch @ MultiFactorRE.java:107: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ MultiPatternSearchRule.java:34: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ QGramMapping.java:84: 1 Unique Traces, 1126 Redundant Traces, 1 Preserved, 100 Remained 
Collections_SortBeforeBinarySearch @ QGramMapping.java:89: 1 Unique Traces, 3301 Redundant Traces, 1 Preserved, 188 Remained 
Collections_SortBeforeBinarySearch @ QGramShiftOr.java:186: 3 Unique Traces, 85 Redundant Traces, 3 Preserved, 9 Remained 
Collections_SortBeforeBinarySearch @ QGramShiftOr.java:321: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ RegexParser.java:162: 7 Unique Traces, 360 Redundant Traces, 5 Preserved, 38 Remained 
Collections_SortBeforeBinarySearch @ RegexParser.java:201: 1 Unique Traces, 47 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ RegexParser.java:293: 2 Unique Traces, 46 Redundant Traces, 2 Preserved, 38 Remained 
Collections_SortBeforeBinarySearch @ SetBackwardOracleMatching.java:63: 4 Unique Traces, 49 Redundant Traces, 3 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ SetBackwardOracleMatching.java:139: 4 Unique Traces, 1916 Redundant Traces, 2 Preserved, 107 Remained 
Collections_SortBeforeBinarySearch @ SetBackwardOracleMatching.java:156: 4 Unique Traces, 1130 Redundant Traces, 3 Preserved, 59 Remained 
