Collection_UnsynchronizedAddAll @ MethodGraph.java:1020: 1 Unique Traces, 71 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsynchronizedAddAll @ MultipleParentClassLoader.java:379: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:72: 1 Unique Traces, 64031 Redundant Traces, 1 Preserved, 3160 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:82: 1 Unique Traces, 5984 Redundant Traces, 1 Preserved, 323 Remained 
Collection_UnsynchronizedAddAll @ NonLeafHelper.java:93: 1 Unique Traces, 70015 Redundant Traces, 1 Preserved, 3533 Remained 
Collection_UnsynchronizedAddAll @ StackManipulation.java:218: 1 Unique Traces, 27 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsynchronizedAddAll @ Util.java:73: 1 Unique Traces, 165490 Redundant Traces, 1 Preserved, 8266 Remained 
Collection_UnsynchronizedAddAll @ Util.java:90: 1 Unique Traces, 980479 Redundant Traces, 1 Preserved, 9999 Remained 
Collection_UnsynchronizedAddAll @ Visualizer.java:88: 1 Unique Traces, 24774 Redundant Traces, 1 Preserved, 1284 Remained 
Collections_SortBeforeBinarySearch @ AllArguments.java:214: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ BoundedPriorityQueue.java:88: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:141: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeAppender.java:143: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ByteCodeElement.java:160: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ CollectionErasureMatcher.java:53: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:47: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:66: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ CompoundList.java:82: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 12 Remained 
